Start Date,Start Time,End Time,Location,Area,Category,Activity,Notes
9/2/2026,11:34 AM,3:55 PM,Zurich HB to Paris Gare de Lyon,12th Arrondissement,Travel,TGV Lyria Train,Arrival Paris Gare de Lyon ETA: 3:55 PM
9/2/2026,3:55 PM,5:15 PM,Gare de Lyon to 41 Rue de Verneuil,12th to 7th Arrondissements,Travel,Taxi/Metro to Airbnb,Allow up to 80 minutes after train arrival for disembarking luggage, transfer, and check-in, which may run later than 4:00 PM
9/2/2026,5:15 PM,6:00 PM,Saint-Germain-des-Pres & Rue de Buci,6th Arrondissement,Excursion,Explore Saint-Germain & Rue de Buci,Short arrival-day stroll before the cafe; flexible if check-in runs long
9/2/2026,6:00 PM,6:40 PM,Cafe de Flore / Les Deux Magots,6th Arrondissement,Coffee,Coffee break at historic cafe,Bd Saint-Germain
9/2/2026,6:40 PM,7:15 PM,La Rhumerie / Maison Sauvage,6th Arrondissement,Drinks,Aperitif,Rue de Buci; optional if dinner timing is tight
9/2/2026,7:15 PM,9:15 PM,Le Comptoir du Relais,6th Arrondissement,Dining,Arrival Dinner,No reservation assumed; treat as a bonus rather than a must-make reservation; use Le Bon Saint Pourcain / Bistro des Augustins / Semilla / Brasserie Lipp if wait is long
9/2/2026,9:15 PM,9:45 PM,Pierre Herme,6th Arrondissement,Dessert,Grab macarons & pastries,Rue Bonaparte; optional
9/3/2026,8:40 AM,9:15 AM,41 Rue de Verneuil to Louvre Museum,7th to 1st Arrondissements,Travel,Metro/Taxi to Louvre,Leave earlier to arrive around 9:15 AM and have a comfortable buffer before the 9:30 AM timed entry
9/3/2026,9:30 AM,12:00 PM,Louvre Museum,1st Arrondissement,Excursion,Museum Entry,Locked Reservation (9:30 AM)
9/3/2026,12:00 PM,12:45 PM,Tuileries Garden,1st Arrondissement,Excursion,Stroll Tuileries Garden,Walk directly from Louvre; keep this short to protect the afternoon reservation sequence
9/3/2026,12:45 PM,2:00 PM,Rue Saint-Honore,1st Arrondissement,Shopping,Shopping at Maison Labiche / Soeur / A.P.C. / Sandro / Maje,Prioritize 2-3 shops rather than trying to visit all
9/3/2026,2:00 PM,2:45 PM,Rue Saint-Honore to Ralph's Coffee,1st to 6th Arrondissements,Travel,Taxi/Metro to Ralph's Coffee,Leave buffer for transit and walking; do not extend shopping past 2:00 PM
9/3/2026,3:00 PM,3:55 PM,Ralph's Coffee,6th Arrondissement,Coffee,Afternoon Coffee Reservation,Locked Reservation (3:00 PM); aim to leave around 3:50-3:55 rather than stretching the stop
9/3/2026,3:55 PM,4:15 PM,Ralph's Coffee to Eiffel Tower,6th to 7th Arrondissements,Travel,Taxi to Eiffel Tower,Use taxi and leave immediately; this is a tight transfer and Eiffel visit takes priority over shopping/coffee
9/3/2026,4:15 PM,6:15 PM,Eiffel Tower,7th Arrondissement,Excursion,Eiffel Tower visit,Casual and relaxed sightseeing
9/3/2026,6:15 PM,7:00 PM,Eiffel Tower to La Bourse et La Vie,7th to 2nd Arrondissements,Travel,Taxi/Metro toward dinner,Use taxi if traffic permits; protect the 7:00 PM reservation
9/3/2026,7:00 PM,9:00 PM,La Bourse et La Vie,2nd Arrondissement,Dining,Dinner Reservation,Locked Reservation (7:00 PM)
9/3/2026,9:00 PM,9:30 PM,La Bourse et La Vie to Angelina,2nd to 1st Arrondissements,Travel,Walk/Metro to Angelina,Optional only if dinner finishes on time
9/3/2026,9:30 PM,10:00 PM,Angelina,1st Arrondissement,Dessert,Hot Chocolate / Dessert,Rue de Rivoli; optional if dinner runs long
9/4/2026,9:15 AM,9:30 AM,41 Rue de Verneuil to Place des Vosges,7th to 4th Arrondissements,Travel,Taxi/Metro to Le Marais,Leave apartment with enough time to begin at 9:30 AM
9/4/2026,9:30 AM,10:30 AM,Place des Vosges & Hotel de Sully,4th Arrondissement,Excursion,Stroll Le Marais,
9/4/2026,10:30 AM,11:30 AM,Le Marais,3rd & 4th Arrondissements,Shopping,Shopping at Merci / Fleux / Papier Tigre / The Broken Arm,Walk between shops; prioritize favorites rather than all four
9/4/2026,11:30 AM,12:00 PM,Fringe,3rd Arrondissement,Coffee,Coffee break,Quick specialty coffee before the 12:00 PM Bouillon République reservation; keep this brief
9/4/2026,12:00 PM,1:45 PM,Bouillon Republique,3rd Arrondissement,Dining,Lunch Reservation,Locked Reservation (12:00 PM)
9/4/2026,1:45 PM,2:00 PM,Bouillon Republique to Marche des Enfants Rouges,3rd Arrondissement,Travel,Walk/Taxi to market,Short transfer after lunch
9/4/2026,2:00 PM,3:00 PM,Marche des Enfants Rouges,3rd Arrondissement,Excursion,Explore covered market,Post-lunch market visit; browse food stalls and have dessert/coffee if desired
9/4/2026,3:00 PM,3:30 PM,Marche des Enfants Rouges to 41 Rue de Verneuil,3rd to 7th Arrondissements,Travel,Taxi to Airbnb,Return promptly to protect the wedding preparation window
